id,name,category,osmium_filter,required_tags,desired_tags
bicycle-rental,Bicycle Rentals,cycling,nrw/amenity=bicycle_rental,"name,network,operator","ref,capacity"
bicycle-parking,Bicycle Parking,cycling,nrw/amenity=bicycle_parking,"capacity,covered,access,operator,bicycle_parking,fee,surveillance","name,operator,rooms,beds,addr:housenumber,addr:street,phone"
bicycle-shop,Bicycle Shops,cycling,nrw/shop=bicycle,"name,addr:housenumber,addr:street,phone,opening_hours",website
clinic,Clinics,health,nrw/amenity=clinic,"name,addr:housenumber,addr:street,phone,opening_hours",
toilets,Toilets,health,nrw/amenity=toilets,,
drinking-water,Drinking Water,health,nrw/amenity=drinking_water,,
doctors,Doctors,health,nrw/amenity=doctors,"name,addr:housenumber,addr:street,phone,opening_hours",
dentist,Dentists,health,nrw/amenity=dentist,"name,addr:housenumber,addr:street,phone,opening_hours",
health-post,Health Posts,health,nrw/amenity=health_post,"name,addr:housenumber,addr:street,phone,opening_hours",
hospital,Hospitals,health,nrw/amenity=hospital,"name,addr:housenumber,addr:street,phone,opening_hours",
nursing-home,Nursing Homes,health,nrw/amenity=nursing_home,"name,addr:housenumber,addr:street,phone,opening_hours",
pharmacy,Pharmacies,health,nrw/amenity=pharmacy,"name,addr:housenumber,addr:street,phone,opening_hours",
veterinary,Veterinaries,health,nrw/amenity=veterinary,"name,addr:housenumber,addr:street,phone,opening_hours",
social-facility,Social Facilities,social,nrw/amenity=social_facility,"name,addr:housenumber,addr:street,phone,opening_hours",
community-centre,Community Centres,social,nrw/amenity=community_centre,"name,addr:housenumber,addr:street,phone,opening_hours",
kindergarten,Kindergartens,education,nrw/amenity=kindergarten,"name,addr:housenumber,addr:street,phone,opening_hours",
school,Schools,education,nrw/amenity=school,"name,addr:housenumber,addr:street,phone,opening_hours",
university,Universities,education,nrw/amenity=university,"name,addr:housenumber,addr:street,phone,opening_hours",
college,Colleges,education,nrw/amenity=college,"name,addr:housenumber,addr:street,phone,opening_hours",
library,Libraries,education,nrw/amenity=library,"name,addr:housenumber,addr:street,phone,opening_hours",
arts-centre,Arts Centres,culture,nrw/amenity=arts_centre,"name,addr:housenumber,addr:street,phone,opening_hours",
gallery,Galleries,culture,nrw/tourism=gallery,"name,addr:housenumber,addr:street,phone,opening_hours",
monument,Monuments,culture,nrw/historic=monument,"name,addr:housenumber,addr:street",
memorials,Memorials,culture,nrw/historic=memorial,"name,addr:housenumber,addr:street",
heritage,Heritage,culture,nrw/heritage,"name,addr:housenumber,addr:street",
cinema,Cinemas,culture,nrw/amenity=cinema,"name,addr:housenumber,addr:street,phone,opening_hours",
government-office,Government Offices,government,nrw/office=government,"name,addr:housenumber,addr:street,phone,opening_hours",
waterfall,Waterfalls,environment,nrw/waterway=waterfall,,
tailings-pond,Tailings Ponds,environment,nrw/man_made=tailings_pond,,
dam,Dams,environment,nrw/waterway=dam,,
guest-house,Guest Houses,tourism,nrw/tourism=guest_house,"name,addr:housenumber,addr:street,phone","name,operator,rooms,beds,addr:housenumber,addr:street,phone"
hotel,Hotels,tourism,nrw/tourism=hotel,"name,addr:housenumber,addr:street,phone","name,operator,rooms,beds,addr:housenumber,addr:street,website,phone"
sport,Sports,leisure,nrw/sport,,
